"","beta","HR (95% CI)","z","wald.test","P-value"
"SLCO1B1|10599","0.1024","1.1079(0.9901-1.2397)","1.786","3.19","0.0741"
"BRCA1|672","0.1473","1.1587(0.9857-1.3622)","1.7854","3.19","0.0742"
"NFE2L3|9603","0.1598","1.1733(0.9845-1.3983)","1.785","3.19","0.0743"
"GINS4|84296","0.134","1.1434(0.9868-1.3248)","1.7832","3.18","0.0746"
"LOC283404|283404","0.1199","1.1273(0.988-1.2863)","1.7809","3.17","0.0749"
"GLB1L3|112937","-0.0463","0.9548(0.9073-1.0047)","-1.7795","3.17","0.0752"
"PFN2|5217","0.1226","1.1304(0.9876-1.2939)","1.7791","3.17","0.0752"
"PAQR6|79957","-0.1053","0.9001(0.8014-1.0108)","-1.7786","3.16","0.0753"
"ATOH7|220202","-0.136","0.8728(0.751-1.0144)","-1.7736","3.15","0.0761"
"CDH2|1000","0.0753","1.0783(0.9921-1.1719)","1.773","3.14","0.0762"
"C11orf86|254439","0.0592","1.061(0.9938-1.1327)","1.7725","3.14","0.0763"
"PPAPDC1A|196051","0.0758","1.0788(0.992-1.1732)","1.7715","3.14","0.0765"
"GCLC|2729","0.0921","1.0965(0.9901-1.2144)","1.7687","3.13","0.0769"
"PPP2R2C|5522","0.0508","1.0521(0.9944-1.1132)","1.7651","3.12","0.0775"
"HIST1H2BC|8347","0.1067","1.1126(0.9883-1.2526)","1.7653","3.12","0.0775"
"POM121L1P|25812","-0.172","0.842(0.6956-1.0192)","-1.7652","3.12","0.0775"
"RSPH6A|81492","-0.2365","0.7894(0.6071-1.0264)","-1.7651","3.12","0.0775"
"MYO19|80179","0.2064","1.2293(0.9771-1.5465)","1.762","3.1","0.0781"
"PNMA5|114824","-0.0866","0.9171(0.8329-1.0098)","-1.7617","3.1","0.0781"
"C13orf34|79866","0.2138","1.2383(0.976-1.5712)","1.7598","3.1","0.0784"
"AKR7L|246181","-0.0896","0.9143(0.8274-1.0102)","-1.76","3.1","0.0784"
"TRPM5|29850","-0.1","0.9048(0.8095-1.0114)","-1.7603","3.1","0.0784"
"KCNC1|3746","-0.1673","0.846(0.7021-1.0193)","-1.7589","3.09","0.0786"
"JSRP1|126306","-0.0736","0.929(0.8558-1.0085)","-1.7576","3.09","0.0788"
"SLC12A8|84561","0.1733","1.1892(0.9798-1.4434)","1.754","3.08","0.0794"
"C20orf24|55969","0.2229","1.2497(0.9741-1.6033)","1.7535","3.07","0.0795"
"FOXE1|2304","0.0537","1.0552(0.9937-1.1206)","1.7534","3.07","0.0795"
"ST8SIA5|29906","-0.1242","0.8832(0.7686-1.0149)","-1.7516","3.07","0.0798"
"IGFBPL1|347252","-0.0787","0.9243(0.8464-1.0094)","-1.7515","3.07","0.0799"
"HPCA|3208","-0.1157","0.8907(0.7825-1.014)","-1.7496","3.06","0.0802"
"RTN4RL2|349667","-0.0888","0.915(0.8283-1.0108)","-1.7478","3.05","0.0805"
"ZNF80|7634","-0.1198","0.8871(0.7756-1.0147)","-1.7478","3.05","0.0805"
"LOC389332|389332","0.1294","1.1381(0.9843-1.316)","1.7464","3.05","0.0807"
"ATHL1|80162","-0.0918","0.9123(0.8229-1.0114)","-1.7454","3.05","0.0809"
"SH2D6|284948","-0.1265","0.8812(0.7644-1.0157)","-1.7451","3.05","0.081"
"DEPDC6|64798","-0.1471","0.8632(0.7317-1.0184)","-1.7433","3.04","0.0813"
"ZNF322A|79692","-0.1724","0.8417(0.6933-1.0218)","-1.742","3.03","0.0815"
"FAM196A|642938","0.0922","1.0966(0.9885-1.2165)","1.7406","3.03","0.0817"
"CSNK1A1P|161635","-0.1739","0.8404(0.691-1.0221)","-1.7411","3.03","0.0817"
"LOC646471|646471","-0.1435","0.8663(0.7369-1.0185)","-1.7382","3.02","0.0822"
"WFDC10B|280664","-0.0854","0.9182(0.8339-1.011)","-1.7377","3.02","0.0823"
"RCCD1|91433","0.2182","1.2438(0.9724-1.591)","1.7369","3.02","0.0824"
"TNNT1|7138","0.0541","1.0556(0.993-1.1221)","1.7341","3.01","0.0829"
"SYTL2|54843","-0.1351","0.8737(0.75-1.0177)","-1.7341","3.01","0.0829"
"UNC5CL|222643","-0.1094","0.8964(0.7921-1.0144)","-1.7334","3","0.083"
"NLRP11|204801","-0.0986","0.9061(0.8105-1.013)","-1.7334","3","0.083"
"FOXQ1|94234","0.0662","1.0685(0.9914-1.1516)","1.7328","3","0.0831"
"TRIM46|80128","-0.1264","0.8812(0.7638-1.0168)","-1.7323","3","0.0832"
"PKD1L2|114780","0.0672","1.0696(0.9911-1.1542)","1.7304","2.99","0.0836"
"PNMA3|29944","-0.082","0.9213(0.8395-1.011)","-1.7293","2.99","0.0838"
"OPRK1|4986","-0.0643","0.9378(0.8718-1.0087)","-1.7282","2.99","0.0839"
"CALCA|796","-0.0458","0.9553(0.9069-1.0062)","-1.7252","2.98","0.0845"
"MAGEA8|4107","0.0672","1.0696(0.9908-1.1546)","1.7221","2.97","0.0851"
"EFCAB4A|283229","-0.1208","0.8862(0.7723-1.0168)","-1.7221","2.97","0.0851"
"HEPACAM2|253012","-0.0703","0.9321(0.8604-1.0098)","-1.7207","2.96","0.0853"
"BFSP2|8419","-0.118","0.8887(0.7769-1.0166)","-1.7203","2.96","0.0854"
"TROAP|10024","0.0944","1.099(0.9869-1.2237)","1.7195","2.96","0.0855"
"HNF4A|3172","0.0569","1.0586(0.9921-1.1295)","1.719","2.95","0.0856"
"PARP1|142","0.2984","1.3477(0.959-1.8939)","1.7186","2.95","0.0857"
"GLYATL3|389396","-0.2532","0.7763(0.5816-1.0364)","-1.7176","2.95","0.0859"
"HOOK1|51361","-0.2008","0.818(0.6503-1.029)","-1.7156","2.94","0.0862"
"CDHR2|54825","0.0577","1.0594(0.9918-1.1316)","1.716","2.94","0.0862"
"UTS2|10911","-0.1215","0.8856(0.7708-1.0174)","-1.7159","2.94","0.0862"
"HAL|3034","0.0663","1.0686(0.9906-1.1528)","1.7149","2.94","0.0864"
"FAM101A|144347","0.079","1.0822(0.9887-1.1844)","1.7143","2.94","0.0865"
"ZNF114|163071","0.062","1.064(0.9911-1.1423)","1.712","2.93","0.0869"
"ADRA2A|150","-0.0804","0.9227(0.8415-1.0118)","-1.7109","2.93","0.0871"
"CGB8|94115","0.0951","1.0998(0.9862-1.2265)","1.7104","2.93","0.0872"
"DTYMK|1841","0.2005","1.222(0.971-1.5377)","1.7094","2.92","0.0874"
"C10orf71|118461","-0.1293","0.8787(0.7575-1.0192)","-1.7085","2.92","0.0875"
"TMEM195|392636","0.0835","1.0871(0.9878-1.1964)","1.7085","2.92","0.0876"
"STEAP1|26872","0.0878","1.0918(0.9871-1.2076)","1.7072","2.91","0.0878"
"AP1G2|8906","-0.1838","0.8321(0.6737-1.0277)","-1.7064","2.91","0.0879"
"HAVCR1|26762","0.0588","1.0606(0.9913-1.1347)","1.7062","2.91","0.088"
"ECE2|9718","0.1581","1.1712(0.9765-1.4049)","1.7032","2.9","0.0885"
"NUDT1|4521","0.1985","1.2195(0.9704-1.5327)","1.702","2.9","0.0888"
"WNT16|51384","-0.1019","0.9031(0.8031-1.0156)","-1.7012","2.89","0.0889"
"CLDN14|23562","0.121","1.1286(0.9817-1.2974)","1.7005","2.89","0.089"
"SLC1A7|6512","-0.054","0.9475(0.8903-1.0083)","-1.7009","2.89","0.089"
"DBN1|1627","0.1975","1.2184(0.97-1.5304)","1.6979","2.88","0.0895"
"RGS14|10636","-0.2214","0.8014(0.6206-1.0347)","-1.6981","2.88","0.0895"
"TMEM215|401498","-0.0933","0.9109(0.8178-1.0145)","-1.6981","2.88","0.0895"
"HRH3|11255","-0.1538","0.8574(0.7179-1.024)","-1.6979","2.88","0.0895"
"GNG4|2786","0.0555","1.0571(0.9914-1.1272)","1.6948","2.87","0.0901"
"FLJ45445|399844","-0.1064","0.8991(0.795-1.0168)","-1.6945","2.87","0.0902"
"PRAME|23532","0.0397","1.0404(0.9938-1.0893)","1.6939","2.87","0.0903"
"FBXL16|146330","-0.0844","0.9191(0.8336-1.0133)","-1.6939","2.87","0.0903"
"FUT3|2525","-0.1057","0.8997(0.7962-1.0168)","-1.6931","2.87","0.0904"
"HSN2|378465","0.112","1.1186(0.9825-1.2734)","1.6934","2.87","0.0904"
"CCNE2|9134","0.1157","1.1227(0.9819-1.2838)","1.6922","2.86","0.0906"
"MARVELD3|91862","-0.2018","0.8173(0.6469-1.0324)","-1.6923","2.86","0.0906"
"CDH3|1001","0.0834","1.0869(0.9869-1.1972)","1.6919","2.86","0.0907"
"TRIM15|89870","0.061","1.0629(0.9904-1.1406)","1.6919","2.86","0.0907"
"TBX20|57057","0.124","1.132(0.9804-1.307)","1.6903","2.86","0.091"
"DHRS13|147015","-0.2061","0.8137(0.6406-1.0338)","-1.688","2.85","0.0914"
"ALOX12P2|245","-0.0653","0.9368(0.8683-1.0106)","-1.6879","2.85","0.0914"
"LOC100134368|100134368","-0.1738","0.8405(0.6867-1.0286)","-1.6861","2.84","0.0918"
"SLC35F3|148641","0.0742","1.0771(0.988-1.1742)","1.6855","2.84","0.0919"
"GCG|2641","0.0805","1.0838(0.987-1.1902)","1.6853","2.84","0.0919"
"FANCB|2187","0.1404","1.1507(0.9773-1.3548)","1.6848","2.84","0.092"
"DLX3|1747","-0.0784","0.9246(0.8439-1.0129)","-1.6844","2.84","0.0921"
"KIR3DP1|768329","-0.594","0.5521(0.2766-1.1021)","-1.6842","2.84","0.0921"
"CNFN|84518","-0.1059","0.8995(0.7952-1.0175)","-1.6836","2.83","0.0923"
"C13orf35|400165","-0.1645","0.8484(0.7004-1.0275)","-1.6821","2.83","0.0925"
"HMX2|3167","0.1174","1.1245(0.9808-1.2894)","1.6817","2.83","0.0926"
"TUBAL3|79861","0.0958","1.1005(0.9842-1.2306)","1.6806","2.82","0.0928"
"PRB2|653247","-0.2802","0.7556(0.5448-1.048)","-1.6793","2.82","0.0931"
"CCL7|6354","0.077","1.0801(0.9871-1.1819)","1.6772","2.81","0.0935"
"KNTC1|9735","0.1478","1.1592(0.9751-1.3782)","1.674","2.8","0.0941"
"MRPS17|51373","0.2042","1.2266(0.9656-1.558)","1.6735","2.8","0.0942"
"LOC100127888|100127888","0.0771","1.0802(0.9869-1.1822)","1.6737","2.8","0.0942"
"KCNK10|54207","-0.0974","0.9072(0.8094-1.0168)","-1.6735","2.8","0.0942"
"CENPM|79019","0.1308","1.1398(0.9778-1.3286)","1.6727","2.8","0.0944"
"GRIK2|2898","0.0722","1.0749(0.9875-1.1701)","1.6684","2.78","0.0952"
"SBSN|374897","0.0572","1.0589(0.99-1.1325)","1.6676","2.78","0.0954"
"GABRA5|2558","0.1042","1.1098(0.9819-1.2545)","1.6674","2.78","0.0954"
"POM121L9P|29774","-0.1421","0.8675(0.7339-1.0254)","-1.666","2.78","0.0957"
"PAX9|5083","-0.0767","0.9262(0.8462-1.0137)","-1.6639","2.77","0.0961"
"PMAIP1|5366","0.1076","1.1136(0.9811-1.2641)","1.6643","2.77","0.0961"
"CPA5|93979","-0.1345","0.8741(0.746-1.0242)","-1.6639","2.77","0.0961"
"TPH2|121278","-0.2649","0.7673(0.5616-1.0483)","-1.6635","2.77","0.0962"
"COX6B2|125965","0.0862","1.09(0.9847-1.2067)","1.662","2.76","0.0965"
"WISP1|8840","0.1102","1.1165(0.9804-1.2716)","1.6613","2.76","0.0966"
"PTGR1|22949","0.1238","1.1318(0.978-1.3098)","1.6613","2.76","0.0966"
"GRIK3|2899","-0.0828","0.9205(0.8348-1.015)","-1.6605","2.76","0.0968"
"NUP155|9631","0.1843","1.2024(0.9673-1.4948)","1.6601","2.76","0.0969"
"C19orf41|126123","-0.0927","0.9115(0.8169-1.0169)","-1.6595","2.75","0.097"
"SST|6750","-0.0672","0.935(0.8637-1.0123)","-1.6592","2.75","0.0971"
"S100A9|6280","0.0675","1.0698(0.9878-1.1587)","1.6587","2.75","0.0972"
"PRSS3|5646","0.0535","1.055(0.9903-1.1239)","1.6575","2.75","0.0974"
"PKP1|5317","0.0453","1.0463(0.9918-1.1039)","1.6572","2.75","0.0975"
"LILRP2|79166","-0.1141","0.8922(0.7796-1.0211)","-1.6565","2.74","0.0976"
"ST6GALNAC1|55808","-0.0646","0.9374(0.8684-1.0119)","-1.6561","2.74","0.0977"
"FAM136A|84908","0.2885","1.3344(0.9479-1.8786)","1.6532","2.73","0.0983"
"LOC100128675|100128675","-0.117","0.8896(0.7744-1.0219)","-1.6532","2.73","0.0983"
"WNK2|65268","-0.0853","0.9182(0.8297-1.0161)","-1.6501","2.72","0.0989"
"AQP12B|653437","-0.1421","0.8675(0.7327-1.027)","-1.6502","2.72","0.0989"
"TET1|80312","0.1324","1.1415(0.9754-1.336)","1.6491","2.72","0.0991"
"HIST1H3G|8355","-0.1065","0.899(0.7921-1.0203)","-1.649","2.72","0.0991"
"LRRC26|389816","-0.0785","0.9245(0.8422-1.015)","-1.6482","2.72","0.0993"
"NKPD1|284353","0.1148","1.1217(0.9785-1.2858)","1.6477","2.71","0.0994"
"IGSF1|3547","0.0744","1.0772(0.986-1.1768)","1.648","2.72","0.0994"
"MSMB|4477","-0.0404","0.9604(0.9153-1.0077)","-1.6471","2.71","0.0995"
"ITGA11|22801","0.0854","1.0892(0.9839-1.2058)","1.6464","2.71","0.0997"
"HTR3A|3359","0.06","1.0619(0.9886-1.1406)","1.6457","2.71","0.0998"
"GJB6|10804","0.0513","1.0527(0.9902-1.119)","1.6456","2.71","0.0998"
"ATP10B|23120","-0.0692","0.9332(0.8593-1.0133)","-1.6454","2.71","0.0999"
"LBX2|85474","0.1297","1.1384(0.9755-1.3287)","1.6448","2.71","0.1"
"LOC151009|151009","-0.1128","0.8933(0.7809-1.0219)","-1.644","2.7","0.1002"
"LOC387646|387646","0.1176","1.1248(0.9776-1.2943)","1.6434","2.7","0.1003"
"MUCL1|118430","0.0706","1.0731(0.9865-1.1673)","1.6432","2.7","0.1003"
"FAM9C|171484","0.1501","1.162(0.9715-1.3898)","1.6431","2.7","0.1004"
"LOC400794|400794","-0.0859","0.9177(0.8283-1.0168)","-1.6416","2.69","0.1007"
"C1QTNF3|114899","-0.1124","0.8937(0.7814-1.0221)","-1.6409","2.69","0.1008"
"NFATC4|4776","-0.1494","0.8613(0.7205-1.0295)","-1.6406","2.69","0.1009"
"HSPA4L|22824","0.1228","1.1306(0.9763-1.3093)","1.64","2.69","0.101"
"RFC4|5984","0.1531","1.1655(0.9705-1.3996)","1.6394","2.69","0.1011"
"LY6D|8581","0.0484","1.0495(0.9906-1.112)","1.6394","2.69","0.1011"
"NT5C1A|84618","-0.1136","0.8926(0.7792-1.0225)","-1.6394","2.69","0.1011"
"ATG9B|285973","-0.093","0.9112(0.8152-1.0184)","-1.6391","2.69","0.1012"
"TMED6|146456","-0.065","0.9371(0.8668-1.013)","-1.6353","2.67","0.102"
"PRTFDC1|56952","0.1293","1.1381(0.9745-1.3292)","1.6332","2.67","0.1024"
"LRP8|7804","0.1421","1.1526(0.9719-1.367)","1.6325","2.67","0.1026"
"BAAT|570","-0.0708","0.9316(0.8557-1.0143)","-1.632","2.66","0.1027"
"CPA2|1358","-0.2279","0.7962(0.6055-1.0471)","-1.6306","2.66","0.103"
"HIST1H2BH|8345","-0.0863","0.9173(0.8268-1.0177)","-1.6297","2.66","0.1032"
"VNN1|8876","0.0809","1.0842(0.9837-1.1951)","1.6282","2.65","0.1035"
"COL9A3|1299","0.0815","1.0849(0.9835-1.1967)","1.6275","2.65","0.1036"
"TNFRSF13C|115650","-0.1035","0.9016(0.7959-1.0214)","-1.6276","2.65","0.1036"
"SPAG11B|10407","-0.3867","0.6793(0.4264-1.0823)","-1.6271","2.65","0.1037"
"SLC6A8|6535","0.112","1.1185(0.9772-1.2803)","1.6255","2.64","0.1041"
"COL28A1|340267","-0.0653","0.9368(0.8659-1.0135)","-1.6251","2.64","0.1041"
"C1QL1|10882","0.0803","1.0836(0.9836-1.1938)","1.6247","2.64","0.1042"
"SPRR2D|6703","0.0479","1.049(0.9902-1.1114)","1.6242","2.64","0.1043"
"OAT|4942","-0.1596","0.8525(0.7031-1.0336)","-1.6234","2.64","0.1045"
"HTR2B|3357","-0.0814","0.9218(0.8355-1.017)","-1.6233","2.64","0.1045"
"IL17A|3605","-0.2104","0.8103(0.6285-1.0446)","-1.6232","2.63","0.1046"
"MC4R|4160","-0.154","0.8572(0.7117-1.0326)","-1.6225","2.63","0.1047"
"TOX3|27324","-0.0547","0.9467(0.8861-1.0115)","-1.6218","2.63","0.1048"
"ALPI|248","0.142","1.1526(0.9708-1.3685)","1.6215","2.63","0.1049"
"AGMAT|79814","0.1174","1.1246(0.9757-1.2961)","1.6208","2.63","0.1051"
"NOX5|79400","0.0824","1.0859(0.9829-1.1997)","1.6207","2.63","0.1051"
"CYP2A6|1548","-0.0754","0.9274(0.8465-1.0159)","-1.6208","2.63","0.1051"
"C9orf100|84904","0.1366","1.1463(0.9713-1.3529)","1.6158","2.61","0.1061"
"ZBTB8B|728116","-0.0836","0.9198(0.8311-1.018)","-1.6156","2.61","0.1062"
"IPCEF1|26034","-0.1089","0.8968(0.7858-1.0236)","-1.6141","2.61","0.1065"
"B4GALNT2|124872","0.0511","1.0525(0.9891-1.1199)","1.6135","2.6","0.1066"
"C9orf71|169693","-0.1955","0.8224(0.6486-1.0429)","-1.6131","2.6","0.1067"
"HPRT1|3251","0.1903","1.2096(0.9599-1.5242)","1.6129","2.6","0.1068"
"MRPS12|6183","0.1878","1.2065(0.9603-1.5159)","1.6121","2.6","0.1069"
"CTNNA2|1496","0.0956","1.1003(0.9795-1.2359)","1.6113","2.6","0.1071"
"ZNF322B|387328","-0.1464","0.8638(0.7228-1.0323)","-1.6099","2.59","0.1074"
"SLC16A7|9194","0.0981","1.1031(0.9788-1.2431)","1.6092","2.59","0.1076"
"B3GNT3|10331","0.1","1.1052(0.9782-1.2487)","1.6059","2.58","0.1083"
"SYT13|57586","0.0424","1.0433(0.9907-1.0986)","1.6056","2.58","0.1084"
"RFC5|5985","0.2129","1.2373(0.954-1.6047)","1.605","2.58","0.1085"
"NCRNA00164|554226","-0.2045","0.815(0.6349-1.0463)","-1.6048","2.58","0.1085"
"CGREF1|10669","0.0727","1.0755(0.984-1.1755)","1.6035","2.57","0.1088"
"C7orf10|79783","0.0936","1.0981(0.9794-1.2312)","1.6027","2.57","0.109"
"LAMB3|3914","0.116","1.123(0.9743-1.2944)","1.6005","2.56","0.1095"
"GJB1|2705","-0.0518","0.9495(0.8911-1.0117)","-1.6002","2.56","0.1096"
"RIMBP2|23504","-0.0621","0.9398(0.8709-1.0141)","-1.5995","2.56","0.1097"
"LOC84740|84740","-0.0444","0.9566(0.906-1.0101)","-1.5991","2.56","0.1098"
"CUZD1|50624","-0.1286","0.8793(0.751-1.0295)","-1.599","2.56","0.1098"
"PSG9|5678","0.1045","1.1102(0.9767-1.2619)","1.5989","2.56","0.1098"
"HEATR2|54919","0.2772","1.3194(0.9392-1.8537)","1.5982","2.55","0.11"
"RNASE10|338879","0.1391","1.1492(0.969-1.3629)","1.5983","2.55","0.11"
"ADAMTS20|80070","0.0808","1.0842(0.9818-1.1972)","1.5978","2.55","0.1101"
"LOC146336|146336","-0.1094","0.8964(0.7838-1.0252)","-1.5968","2.55","0.1103"
"ASCL1|429","-0.0461","0.9549(0.9023-1.0106)","-1.5965","2.55","0.1104"
"DGKI|9162","0.1249","1.133(0.9719-1.3208)","1.5961","2.55","0.1105"
"MAGEL2|54551","0.1189","1.1262(0.9732-1.3034)","1.595","2.54","0.1107"
"DSC3|1825","0.0585","1.0603(0.9867-1.1393)","1.5952","2.54","0.1107"
"WIPF3|644150","0.0914","1.0957(0.9793-1.226)","1.5942","2.54","0.1109"
"SEMA3A|10371","0.0707","1.0732(0.9839-1.1707)","1.5933","2.54","0.1111"
"CCDC34|91057","0.1554","1.1682(0.9648-1.4145)","1.5924","2.54","0.1113"
"GOLGA7B|401647","-0.077","0.9259(0.8421-1.018)","-1.592","2.53","0.1114"
"KIAA1239|57495","0.1278","1.1363(0.9709-1.33)","1.5916","2.53","0.1115"
"DNASE1L2|1775","-0.1062","0.8992(0.7889-1.025)","-1.5903","2.53","0.1118"
"CHI3L1|1116","-0.075","0.9277(0.8457-1.0177)","-1.5883","2.52","0.1122"
"JAKMIP1|152789","-0.091","0.913(0.8159-1.0215)","-1.5881","2.52","0.1123"
"RFPL4B|442247","0.0976","1.1025(0.9774-1.2436)","1.5873","2.52","0.1124"
"GSDMB|55876","-0.0953","0.9091(0.8079-1.0229)","-1.5838","2.51","0.1132"
"RCC2|55920","0.2213","1.2477(0.9487-1.6408)","1.5833","2.51","0.1133"
"HDHD3|81932","-0.1951","0.8228(0.6462-1.0476)","-1.5826","2.5","0.1135"
"MMP17|4326","0.0861","1.0899(0.9797-1.2125)","1.5826","2.5","0.1135"
"CELF3|11189","-0.0621","0.9398(0.8702-1.015)","-1.5816","2.5","0.1137"
"ATCAY|85300","0.1001","1.1053(0.9763-1.2513)","1.5812","2.5","0.1138"
"C20orf151|140893","-0.1159","0.8906(0.7714-1.0282)","-1.581","2.5","0.1139"
"CDC7|8317","0.127","1.1354(0.97-1.329)","1.5806","2.5","0.114"
"TNFSF4|7292","0.1228","1.1306(0.9708-1.3168)","1.5787","2.49","0.1144"
"TREH|11181","-0.1025","0.9026(0.7946-1.0253)","-1.5761","2.48","0.115"
"NAT9|26151","-0.2492","0.7794(0.5716-1.0627)","-1.5754","2.48","0.1152"
"C5orf34|375444","0.1261","1.1344(0.9694-1.3275)","1.5724","2.47","0.1159"
"C9orf140|89958","0.1183","1.1256(0.9711-1.3046)","1.5707","2.47","0.1162"
"CLDN4|1364","-0.1706","0.8432(0.6816-1.0431)","-1.571","2.47","0.1162"
"RHBDL1|9028","-0.0939","0.9104(0.8097-1.0236)","-1.5697","2.46","0.1165"
"GRB7|2886","-0.1801","0.8352(0.6669-1.0459)","-1.5692","2.46","0.1166"
"DIO2|1734","0.0788","1.082(0.9805-1.1939)","1.5684","2.46","0.1168"
"MEP1B|4225","-0.2972","0.7429(0.5125-1.077)","-1.5684","2.46","0.1168"
"OTOS|150677","-0.1929","0.8245(0.6477-1.0496)","-1.567","2.46","0.1171"
"KCP|375616","0.0831","1.0866(0.9793-1.2057)","1.566","2.45","0.1173"
"CLK2|1196","-0.2356","0.7901(0.5883-1.0611)","-1.5659","2.45","0.1174"
"RRS1|23212","0.188","1.2068(0.9533-1.5277)","1.5622","2.44","0.1182"
"FLJ40330|645784","-0.0696","0.9328(0.8548-1.0179)","-1.5615","2.44","0.1184"
"CTAG1B|1485","-0.0504","0.9508(0.8924-1.013)","-1.5594","2.43","0.1189"
"CHAF1A|10036","0.1824","1.2001(0.9541-1.5095)","1.5588","2.43","0.119"
"ZNF98|148198","-0.0844","0.9191(0.8266-1.0219)","-1.5591","2.43","0.119"
"ZNF572|137209","-0.1365","0.8724(0.7348-1.0358)","-1.5583","2.43","0.1192"
"DSP|1832","0.0914","1.0957(0.9766-1.2293)","1.5572","2.42","0.1194"
"POC1A|25886","0.1575","1.1706(0.96-1.4275)","1.5562","2.42","0.1197"
"MYT1|4661","-0.0683","0.934(0.857-1.0179)","-1.5561","2.42","0.1197"
"C12orf70|341346","0.1174","1.1246(0.9699-1.3039)","1.5557","2.42","0.1198"
"ASAH2|56624","0.1333","1.1426(0.9658-1.3519)","1.5542","2.42","0.1201"
"SYT7|9066","-0.0875","0.9162(0.8203-1.0232)","-1.5525","2.41","0.1205"
"TMEM158|25907","0.0883","1.0923(0.9771-1.2211)","1.5528","2.41","0.1205"
"CEL|1056","-0.0726","0.9299(0.8485-1.0192)","-1.5525","2.41","0.1206"
"SKP2|6502","0.1316","1.1407(0.9658-1.3472)","1.5502","2.4","0.1211"
"PHYHIPL|84457","-0.0796","0.9234(0.835-1.0213)","-1.5503","2.4","0.1211"
"OAS1|4938","0.1152","1.1221(0.9699-1.2981)","1.5494","2.4","0.1213"
"SLC5A11|115584","-0.0907","0.9133(0.8143-1.0244)","-1.5485","2.4","0.1215"
"RAD54L|8438","0.0992","1.1043(0.9739-1.2521)","1.5481","2.4","0.1216"
"HOXB13|10481","0.042","1.0429(0.9888-1.1)","1.5463","2.39","0.122"
"SPOCK3|50859","0.0549","1.0564(0.9854-1.1325)","1.5465","2.39","0.122"
"C1orf180|439927","0.1516","1.1637(0.9602-1.4102)","1.546","2.39","0.1221"
"PLEKHG4B|153478","-0.057","0.9446(0.8786-1.0154)","-1.5449","2.39","0.1224"
"CDC20B|166979","-0.0626","0.9393(0.8676-1.017)","-1.5436","2.38","0.1227"
"TMEM52|339456","-0.1029","0.9022(0.7917-1.0282)","-1.5432","2.38","0.1228"
"C9orf84|158401","0.0644","1.0665(0.9827-1.1574)","1.543","2.38","0.1228"
"PSG8|440533","0.0804","1.0838(0.9785-1.2004)","1.5428","2.38","0.1229"
"LOC285629|285629","-0.0645","0.9376(0.8638-1.0176)","-1.5423","2.38","0.123"
"CCNO|10309","-0.089","0.9149(0.817-1.0244)","-1.5421","2.38","0.123"
"RPP40|10799","0.186","1.2044(0.9508-1.5256)","1.5417","2.38","0.1232"
"PCSK1|5122","0.0421","1.043(0.9886-1.1003)","1.5416","2.38","0.1232"
"TUBA4A|7277","0.1502","1.1621(0.9599-1.4069)","1.5406","2.37","0.1234"
"SOX9|6662","0.0712","1.0738(0.9808-1.1757)","1.5401","2.37","0.1235"
"GPT|2875","-0.078","0.925(0.8376-1.0215)","-1.5399","2.37","0.1236"
"ZNF692|55657","-0.1344","0.8742(0.7367-1.0375)","-1.5389","2.37","0.1238"
"C11orf24|53838","0.2533","1.2882(0.9331-1.7784)","1.5392","2.37","0.1238"
"CMTM1|113540","0.1785","1.1954(0.9524-1.5004)","1.539","2.37","0.1238"
"PLA2G4D|283748","-0.0998","0.905(0.7969-1.0277)","-1.5388","2.37","0.1238"
"FCRL2|79368","-0.0733","0.9293(0.8464-1.0203)","-1.5384","2.37","0.1239"
"SMTNL1|219537","-0.1002","0.9047(0.7962-1.0279)","-1.5377","2.36","0.1241"
"MAGEA1|4100","0.0428","1.0437(0.9883-1.1022)","1.536","2.36","0.1245"
"LOC100130238|100130238","-0.0784","0.9246(0.8366-1.0219)","-1.5362","2.36","0.1245"
"KCNN4|3783","0.0833","1.0869(0.9772-1.2088)","1.5353","2.36","0.1247"
"C4orf6|10141","-0.0973","0.9073(0.8013-1.0273)","-1.5353","2.36","0.1247"
"TM4SF4|7104","0.0406","1.0415(0.9888-1.097)","1.5332","2.35","0.1252"
"CXorf49B|100132994","-0.0659","0.9363(0.8607-1.0185)","-1.5334","2.35","0.1252"
"ASB11|140456","-0.1585","0.8534(0.6969-1.0452)","-1.5324","2.35","0.1254"
"VTN|7448","0.0764","1.0794(0.9788-1.1902)","1.5311","2.34","0.1257"
"AMY1A|276","-0.0474","0.9537(0.8974-1.0134)","-1.5305","2.34","0.1259"
"MMACHC|25974","-0.1869","0.8295(0.6529-1.054)","-1.5297","2.34","0.1261"
"CACNB3|784","-0.1561","0.8555(0.7004-1.0449)","-1.5294","2.34","0.1262"
"CYP24A1|1591","0.0487","1.0499(0.9863-1.1176)","1.5264","2.33","0.1269"
"PIWIL1|9271","-0.0941","0.9102(0.8065-1.0272)","-1.5255","2.33","0.1271"
"GPR143|4935","-0.0813","0.9219(0.8304-1.0234)","-1.5257","2.33","0.1271"
"MYCNOS|10408","-0.1741","0.8402(0.6717-1.0509)","-1.5251","2.33","0.1272"
"DAPL1|92196","-0.0821","0.9211(0.8289-1.0237)","-1.5251","2.33","0.1272"
"RND2|8153","-0.0829","0.9204(0.8274-1.0239)","-1.5248","2.33","0.1273"
