"","beta","HR (95% CI)","z","wald.test","P-value"
"SHCBP1|79801","0.2869","1.3323(1.1404-1.5564)","3.6155","13.07","0.0003"
"KIF20B|9585","0.39","1.477(1.1979-1.8212)","3.649","13.32","0.0003"
"S100A16|140576","0.3042","1.3556(1.1486-1.5999)","3.5986","12.95","0.0003"
"NPAS2|4862","0.2719","1.3125(1.1322-1.5215)","3.6062","13","0.0003"
"NTS|4922","0.0855","1.0893(1.0401-1.1408)","3.6269","13.15","0.0003"
"S100A7|6278","0.1384","1.1484(1.0651-1.2383)","3.5999","12.96","0.0003"
"MEP1A|4224","-0.2696","0.7637(0.6599-0.8838)","-3.6175","13.09","0.0003"
"MARCH4|57574","0.1735","1.1894(1.0819-1.3077)","3.5883","12.88","0.0003"
"SFXN1|94081","0.4851","1.6244(1.2394-2.129)","3.5151","12.36","0.0004"
"CCNA2|890","0.2601","1.297(1.1231-1.4979)","3.5403","12.53","0.0004"
"GJB2|2706","0.1699","1.1852(1.0792-1.3017)","3.5551","12.64","0.0004"
"WDHD1|11169","0.3198","1.3769(1.154-1.6428)","3.5492","12.6","0.0004"
"CCT6A|908","0.385","1.4696(1.1867-1.8201)","3.5286","12.45","0.0004"
"KCNK5|8645","-0.2033","0.8161(0.7293-0.9132)","-3.5429","12.55","0.0004"
"ASPH|444","0.2595","1.2963(1.123-1.4965)","3.5431","12.55","0.0004"
"FST|10468","0.1487","1.1604(1.0694-1.259)","3.5719","12.76","0.0004"
"UNC5D|137970","0.1511","1.1631(1.0691-1.2654)","3.5128","12.34","0.0004"
"UPK1B|7348","0.0879","1.0918(1.0397-1.1466)","3.5223","12.41","0.0004"
"OTOP2|92736","0.3687","1.4458(1.1783-1.7741)","3.5317","12.47","0.0004"
"FAM83A|84985","0.183","1.2008(1.0827-1.3318)","3.4643","12","0.0005"
"CASC5|57082","0.2235","1.2505(1.102-1.419)","3.4656","12.01","0.0005"
"ABCC2|1244","0.0954","1.1001(1.0429-1.1604)","3.5021","12.26","0.0005"
"C12orf11|55726","0.4973","1.6443(1.2405-2.1797)","3.4586","11.96","0.0005"
"SERPINB5|5268","0.0938","1.0983(1.0417-1.158)","3.4716","12.05","0.0005"
"FGF5|2250","0.1211","1.1287(1.0544-1.2082)","3.4862","12.15","0.0005"
"KRT17|3872","0.1358","1.1455(1.0616-1.2359)","3.5021","12.26","0.0005"
"C19orf36|113177","-0.2228","0.8003(0.7065-0.9065)","-3.5023","12.27","0.0005"
"NKX2-5|1482","0.1907","1.21(1.0862-1.348)","3.4605","11.98","0.0005"
"E2F7|144455","0.2122","1.2364(1.0962-1.3945)","3.4551","11.94","0.0006"
"SLC16A3|9123","0.3372","1.4011(1.1564-1.6975)","3.4442","11.86","0.0006"
"WFDC2|10406","-0.16","0.8522(0.7774-0.9342)","-3.4136","11.65","0.0006"
"FBN2|2201","0.1465","1.1577(1.0647-1.259)","3.425","11.73","0.0006"
"CLIC6|54102","-0.1326","0.8759(0.8118-0.9449)","-3.4219","11.71","0.0006"
"KIF14|9928","0.2203","1.2464(1.097-1.4162)","3.38","11.42","0.0007"
"EXO1|9156","0.2221","1.2488(1.0975-1.4209)","3.372","11.37","0.0007"
"AHNAK2|113146","0.1855","1.2038(1.082-1.3394)","3.4077","11.61","0.0007"
"LOC645166|645166","0.2508","1.2851(1.1118-1.4854)","3.394","11.52","0.0007"
"C16orf74|404550","0.1803","1.1976(1.079-1.3293)","3.3894","11.49","0.0007"
"EN1|2019","0.1945","1.2147(1.0849-1.3601)","3.3734","11.38","0.0007"
