"","logFC","logCPM","LR","PValue","FDR","change"
"E2F1|1869",1.57394238326725,4.53883997500918,93.4172742168532,4.23538058189024e-22,2.84139083625885e-21,"Up"
"IL1F7|27178",7.00880091181465,2.93448613561236,93.4167769833819,4.23644474460387e-22,2.84139083625885e-21,"Up"
"ESPN|83715",2.56845673495577,3.85960033900812,93.4160872709775,4.23792128716761e-22,2.84139083625885e-21,"Up"
"HIST1H2BG|8339",3.45628670917954,0.143939883681493,93.2454819367551,4.61942816589061e-22,3.0937313159985e-21,"Up"
"CHRNB4|1143",3.05798930466439,-1.03976091967651,93.0985179156351,4.97549826141602e-22,3.32602844889992e-21,"Up"
"HIST1H2BN|8341",1.84929969346606,-0.372721247447811,93.0789905229059,5.0248316943848e-22,3.35652062368435e-21,"Up"
"LHX2|9355",4.80261862309556,-0.490933700212944,93.0504748053221,5.09775320128168e-22,3.40271255658037e-21,"Up"
"FOXI3|344167",6.59817179759578,-0.159045830149978,92.9747627246319,5.29654445443945e-22,3.53018208486624e-21,"Up"
"HIST1H1D|3007",3.43326154678506,-1.45219948873967,92.833465226762,5.68850949396981e-22,3.78863128622366e-21,"Up"
"LOC642846|642846",1.55458701877664,3.00172965275475,92.7231786127044,6.01450320094394e-22,4.00131840301648e-21,"Up"
"ODZ4|26011",1.82809946987536,4.01697054927845,92.5686063550648,6.50308698200958e-22,4.31840386086427e-21,"Up"
"CMTM1|113540",1.09847274089817,2.76376947151295,92.553516401014,6.55286135239059e-22,4.3498563644464e-21,"Up"
"C1orf31|388753",1.25473183541044,4.60366147052454,92.5337392981135,6.61867376803646e-22,4.3903139595476e-21,"Up"
"HIST1H4J|8363",1.89075280484626,0.535631112288805,92.4714851306189,6.83018449198691e-22,4.52562407840939e-21,"Up"
"AIM2|9447",3.01912483902071,3.27166694058245,92.377222593615,7.16338343926812e-22,4.735967314848e-21,"Up"
"SPP2|6694",7.29784268658723,0.126294041422349,92.3027099923382,7.43823720708711e-22,4.91408284592662e-21,"Up"
"C11orf83|790955",1.15949429284596,4.44516413202739,92.2988947996981,7.45259075583459e-22,4.92176401580895e-21,"Up"
"FCRL5|83416",2.59002289956264,3.77220459642935,92.1972208073469,7.84548700938936e-22,5.17555537399373e-21,"Up"
"PRSS53|339105",1.73979667990686,1.66750383274806,92.0937252554899,8.26670706225215e-22,5.43951132944182e-21,"Up"
